2017-12-09 03:03:57,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50800 ]
2017-12-09 03:03:58,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50801 ] 
2017-12-09 03:03:58,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50801 ]
2017-12-09 03:03:58,931 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50801 ] 
2017-12-09 03:03:58,931 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50801 ]
2017-12-09 03:03:59,887 [registry.py  listentPeers  MainThread ] [INFO ]  Connection accepted from    [ 192.168.1.43 , 50202 ]
2017-12-09 03:03:59,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50802 ] 
2017-12-09 03:03:59,931 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50802 ]
2017-12-09 03:03:59,931 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50802 ] 
2017-12-09 03:03:59,931 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50802 ]
2017-12-09 03:04:00,931 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50803 ] 
2017-12-09 03:04:00,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50803 ]
2017-12-09 03:04:00,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50803 ] 
2017-12-09 03:04:00,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50803 ]
2017-12-09 03:04:01,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50804 ] 
2017-12-09 03:04:01,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50804 ]
2017-12-09 03:04:01,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50804 ] 
2017-12-09 03:04:01,932 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50804 ]
2017-12-09 03:04:02,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50805 ] 
2017-12-09 03:04:02,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50805 ]
2017-12-09 03:04:02,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50805 ] 
2017-12-09 03:04:02,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50805 ]
2017-12-09 03:04:03,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50806 ] 
2017-12-09 03:04:03,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50806 ]
2017-12-09 03:04:03,933 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50806 ] 
2017-12-09 03:04:03,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50806 ]
2017-12-09 03:04:04,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50807 ] 
2017-12-09 03:04:04,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50807 ]
2017-12-09 03:04:04,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50807 ] 
2017-12-09 03:04:04,934 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50807 ]
2017-12-09 03:04:05,936 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50808 ] 
2017-12-09 03:04:05,936 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50808 ]
2017-12-09 03:04:05,936 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50808 ] 
2017-12-09 03:04:05,936 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50808 ]
2017-12-09 03:04:06,937 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50809 ] 
2017-12-09 03:04:06,937 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50809 ]
2017-12-09 03:04:06,937 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50809 ] 
2017-12-09 03:04:06,938 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50809 ]
2017-12-09 03:04:07,546 [conlistener.py  examinePacket  Thread-4 ] [INFO ]  Request ---> Type:0 , Field1:mert , Field2:1234    [ 192.168.1.43 , 50202 ] 
2017-12-09 03:04:07,548 [conlistener.py  printLog  Thread-4 ] [INFO ]  Response ---> Type:0 Status:20 Message: registered    [ 192.168.1.43 , 50202 ]
2017-12-09 03:04:07,938 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50810 ] 
